id,geometry
67,"POLYGON ((108.22158829133913 16.060252451160462, 108.22163393074067 16.06027753578891, 108.22169221588432 16.060142487062613, 108.22163360871805 16.060140817200192, 108.22158829133913 16.060252451160462))"
68,"POLYGON ((108.2213351949167 16.060218828517012, 108.22139011092786 16.06023309915257, 108.22138828863099 16.060249293607278, 108.22142271683204 16.06025371516938, 108.2214291160368 16.060206029221284, 108.22133885433911 16.060192735859236, 108.2213351949167 16.060218828517012))"
69,"POLYGON ((108.22126538927324 16.060201892225567, 108.22130260172943 16.060203609273078, 108.22130621457983 16.060157728397925, 108.22129498860451 16.060130769029676, 108.22125501518228 16.06014165062356, 108.22126621363306 16.060156916956135, 108.22126538927324 16.060201892225567))"
70,"POLYGON ((108.22133413979502 16.060165762162327, 108.22138342374025 16.06015845793705, 108.22137211305936 16.060095519995464, 108.2213200618024 16.060112724468265, 108.22133413979502 16.060165762162327))"
71,"POLYGON ((108.22141320301635 16.06016378920281, 108.22144483211609 16.0601646190468, 108.22142058113108 16.060136788888997, 108.22144482788069 16.060162820117956, 108.22143346635663 16.06007829503371, 108.22139254792573 16.060082882449414, 108.22141320301635 16.06016378920281))"
72,"POLYGON ((108.22088821231114 16.06040959978807, 108.22093468456119 16.06039330715544, 108.22094571164696 16.060335716882193, 108.220895480511 16.060335827337724, 108.22088821231114 16.06040959978807))"
73,"POLYGON ((108.22094306276605 16.060395987138815, 108.22105462829708 16.060370556635508, 108.22104708084845 16.060325599780658, 108.22096618887726 16.06034106866526, 108.22094204370913 16.060358211676427, 108.22094306276605 16.060395987138815))"
74,"POLYGON ((108.22079142007173 16.06038822533386, 108.22086673295401 16.06037366825049, 108.22086290425689 16.060327803742553, 108.22078480288742 16.060343266423363, 108.22079142007173 16.06038822533386))"
75,"POLYGON ((108.22071454913473 16.060531409903312, 108.22078987053622 16.06052045070351, 108.2207794965684 16.060460209076837, 108.22070139725471 16.060476571193107, 108.22071454913473 16.060531409903312))"
76,"POLYGON ((108.22043679123342 16.060691226278955, 108.22054094492943 16.060678404888087, 108.22054719216608 16.06056595751768, 108.22043742558567 16.06056529920279, 108.22043679123342 16.060691226278955))"
77,"POLYGON ((108.2203601740041 16.060546580036032, 108.22046340587733 16.060537358585723, 108.22044823726866 16.060415963569728, 108.22034970931135 16.060447661409885, 108.2203601740041 16.060546580036032))"
78,"POLYGON ((108.22047553449919 16.0605526229166, 108.22052296238898 16.060547121902367, 108.22050680647123 16.060401443393094, 108.22044917170186 16.060417760455373, 108.22047553449919 16.0605526229166))"
79,"POLYGON ((108.22042674530947 16.060374635198706, 108.2204936736785 16.06035469984853, 108.22048517924239 16.06030254929772, 108.22041174578543 16.06032519734147, 108.22042674530947 16.060374635198706))"
80,"POLYGON ((108.22053828765158 16.060339310853077, 108.22062851131882 16.060336414190683, 108.22062747118119 16.060289644079784, 108.22053259650465 16.06029255096014, 108.22053828765158 16.060339310853077))"
81,"POLYGON ((108.22065181932983 16.0603588496972, 108.22067041922855 16.060357009881212, 108.22066097339827 16.060295866737807, 108.22063865268075 16.060297714729852, 108.22065181932983 16.0603588496972))"
82,"POLYGON ((108.22067876571413 16.06034619790742, 108.2207466813469 16.06035054597624, 108.22075408281928 16.0603334397928, 108.22081547220058 16.060331505901562, 108.22081350604316 16.060286536766714, 108.22067768539324 16.060282337971284, 108.22067876571413 16.06034619790742))"
83,"POLYGON ((108.22065010690943 16.060421816301673, 108.22073100316999 16.060408146464024, 108.22073738351285 16.060352365352234, 108.22065183835745 16.06036694487785, 108.22065010690943 16.060421816301673))"
84,"POLYGON ((108.22057198857419 16.060430083189978, 108.22064265891372 16.06041913426246, 108.2206332152025 16.060358890582563, 108.22055882828533 16.060371646611184, 108.22057198857419 16.060430083189978))"
85,"POLYGON ((108.22031238272933 16.06039737311196, 108.22041559339746 16.060379157041126, 108.22038750548548 16.06030186438654, 108.22035311321233 16.060312733555126, 108.22035028878868 16.060298348251198, 108.22028334563512 16.06031198730458, 108.22031238272933 16.06039737311196))"
86,"POLYGON ((108.22075487768883 16.06027587201971, 108.22079951277121 16.06026947761574, 108.22079550856361 16.060148957551377, 108.22075179102563 16.060149953122014, 108.22075487768883 16.06027587201971))"
87,"POLYGON ((108.22083843337005 16.06020642920973, 108.22092860831528 16.060182844739238, 108.22092204187715 16.060159472980708, 108.22093876441996 16.06015044151687, 108.22093684477721 16.06012526060205, 108.22089780788575 16.060138838477727, 108.22090903380864 16.060165797868187, 108.22087928838646 16.060174857963972, 108.22085690211776 16.060148822578753, 108.2208346194885 16.06016686095189, 108.22083843337005 16.06020642920973))"
88,"POLYGON ((108.22147167888363 16.060109692330986, 108.22162166809834 16.06010666367131, 108.22158185099207 16.06008516409457, 108.22162166809834 16.06010666367131, 108.2215935951247 16.060035892301407, 108.22145970123235 16.060059798164595, 108.22147167888363 16.060109692330986))"
89,"POLYGON ((108.22168375928601 16.060106526925658, 108.22172767969002 16.060092938151357, 108.22169677157207 16.060003284190067, 108.22165425284811 16.060019568277998, 108.22168375928601 16.060106526925658))"
90,"POLYGON ((108.22176959931045 16.060118480679744, 108.22182049465889 16.060104201919597, 108.22181203221129 16.060065768261072, 108.22183853351179 16.060061662264342, 108.2218097278468 16.059976051298886, 108.22176581065293 16.059990989285936, 108.22176863146426 16.060003800506315, 108.22172749216122 16.060013335551925, 108.2217338616294 16.06005177382465, 108.22175272370544 16.060062525904954, 108.22176959931045 16.060118480679744))"
91,"POLYGON ((108.22185324623423 16.06008793931856, 108.22189925799287 16.060073671299808, 108.22185990801663 16.059954353485974, 108.22181390581916 16.059972669085546, 108.22185324623423 16.06008793931856))"
